date,subsite,time,age,count,year
2012-05-29T00:00:00Z,BL,14:00:00,adult,149,2012
2012-05-29T00:00:00Z,BL,14:00:00,pup,20,2012
2012-05-30T00:00:00Z,BL,14:05:00,adult,132,2012
2012-05-30T00:00:00Z,BL,14:05:00,pup,54,2012
2012-05-31T00:00:00Z,DE,13:35:00,adult,223,2012
2012-05-31T00:00:00Z,DE,13:35:00,pup,73,2012
2012-05-31T00:00:00Z,DP,14:20:00,adult,239,2012
2012-05-31T00:00:00Z,DP,14:20:00,pup,119,2012
2013-03-05T00:00:00Z,DP,10:50:00,adult,32,2013
2013-03-06T00:00:00Z,BL,13:20:00,adult,95,2013
2013-03-08T00:00:00Z,BL,15:55:00,adult,118,2013
2013-03-09T00:00:00Z,DE,15:15:00,adult,130,2013
2013-03-10T00:00:00Z,DP,15:15:00,adult,149,2013
2013-03-15T00:00:00Z,DE,11:30:00,adult,195,2013
2013-03-16T00:00:00Z,BL,10:35:00,adult,106,2013
2013-03-16T00:00:00Z,DP,11:00:00,adult,149,2013
2013-03-18T00:00:00Z,DE,11:45:00,adult,247,2013
2013-03-18T00:00:00Z,DP,10:40:00,adult,135,2013
2013-03-18T00:00:00Z,DP,10:40:00,pup,1,2013
2013-03-21T00:00:00Z,BL,15:25:00,adult,180,2013
2013-03-21T00:00:00Z,DE,15:15:00,adult,189,2013
2013-03-23T00:00:00Z,DP,16:30:00,adult,220,2013
2013-03-23T00:00:00Z,DP,16:30:00,pup,4,2013
2013-03-24T00:00:00Z,DP,16:00:00,adult,270,2013
2013-03-24T00:00:00Z,DP,16:00:00,pup,5,2013
2013-03-25T00:00:00Z,DE,16:20:00,adult,205,2013
2013-03-25T00:00:00Z,DE,16:20:00,pup,2,2013
2013-03-27T00:00:00Z,BL,08:35:00,adult,60,2013
2013-03-28T00:00:00Z,DE,09:30:00,adult,149,2013
2013-03-28T00:00:00Z,DE,09:30:00,pup,2,2013
2013-03-29T00:00:00Z,DP,09:45:00,adult,96,2013
2013-03-29T00:00:00Z,DP,09:45:00,pup,2,2013
2013-03-31T00:00:00Z,BL,11:38:00,adult,115,2013
2013-03-31T00:00:00Z,BL,11:38:00,pup,2,2013
2013-04-01T00:00:00Z,DP,12:40:00,adult,256,2013
2013-04-01T00:00:00Z,DP,12:40:00,pup,33,2013
2013-04-03T00:00:00Z,BL,15:30:00,adult,268,2013
2013-04-03T00:00:00Z,BL,15:30:00,pup,17,2013
2013-04-05T00:00:00Z,DE,14:30:00,adult,436,2013
2013-04-05T00:00:00Z,DE,14:30:00,pup,34,2013
2013-04-07T00:00:00Z,DP,15:50:00,adult,406,2013
2013-04-07T00:00:00Z,DP,15:50:00,pup,109,2013
2013-04-09T00:00:00Z,BL,16:50:00,adult,297,2013
2013-04-09T00:00:00Z,BL,16:50:00,pup,72,2013
2013-04-11T00:00:00Z,DE,09:35:00,adult,464,2013
